Gene symbol	chr	geneID	gene type
TSPAN6	chrX	ENSG00000000003	protein_coding
TNMD	chrX	ENSG00000000005	protein_coding
DPM1	chr20	ENSG00000000419	protein_coding
SCYL3	chr1	ENSG00000000457	protein_coding
FIRRM	chr1	ENSG00000000460	protein_coding
FGR	chr1	ENSG00000000938	protein_coding
CFH	chr1	ENSG00000000971	protein_coding
FUCA2	chr6	ENSG00000001036	protein_coding
GCLC	chr6	ENSG00000001084	protein_coding
NFYA	chr6	ENSG00000001167	protein_coding
STPG1	chr1	ENSG00000001460	protein_coding
NIPAL3	chr1	ENSG00000001461	protein_coding
LAS1L	chrX	ENSG00000001497	protein_coding
ENPP4	chr6	ENSG00000001561	protein_coding
SEMA3F	chr3	ENSG00000001617	protein_coding
CFTR	chr7	ENSG00000001626	protein_coding
ANKIB1	chr7	ENSG00000001629	protein_coding
CYP51A1	chr7	ENSG00000001630	protein_coding
KRIT1	chr7	ENSG00000001631	protein_coding
RAD52	chr12	ENSG00000002016	protein_coding
MYH16	chr7	ENSG00000002079	transcribed_unitary_pseudogene
BAD	chr11	ENSG00000002330	protein_coding
LAP3	chr4	ENSG00000002549	protein_coding
CD99	chrX	ENSG00000002586	protein_coding
HS3ST1	chr4	ENSG00000002587	protein_coding
AOC1	chr7	ENSG00000002726	protein_coding
WNT16	chr7	ENSG00000002745	protein_coding
HECW1	chr7	ENSG00000002746	protein_coding
MAD1L1	chr7	ENSG00000002822	protein_coding
LASP1	chr17	ENSG00000002834	protein_coding
SNX11	chr17	ENSG00000002919	protein_coding
TMEM176A	chr7	ENSG00000002933	protein_coding
M6PR	chr12	ENSG00000003056	protein_coding
KLHL13	chrX	ENSG00000003096	protein_coding
CYP26B1	chr2	ENSG00000003137	protein_coding
ICA1	chr7	ENSG00000003147	protein_coding
DBNDD1	chr16	ENSG00000003249	protein_coding
ALS2	chr2	ENSG00000003393	protein_coding
CASP10	chr2	ENSG00000003400	protein_coding
CFLAR	chr2	ENSG00000003402	protein_coding
TFPI	chr2	ENSG00000003436	protein_coding
NDUFAF7	chr2	ENSG00000003509	protein_coding
RBM5	chr3	ENSG00000003756	protein_coding
MTMR7	chr8	ENSG00000003987	protein_coding
SLC7A2	chr8	ENSG00000003989	protein_coding
ARF5	chr7	ENSG00000004059	protein_coding
SARM1	chr17	ENSG00000004139	protein_coding
POLDIP2	chr17	ENSG00000004142	protein_coding
PLXND1	chr3	ENSG00000004399	protein_coding
AK2	chr1	ENSG00000004455	protein_coding
CD38	chr4	ENSG00000004468	protein_coding
FKBP4	chr12	ENSG00000004478	protein_coding
KDM1A	chr1	ENSG00000004487	protein_coding
RBM6	chr3	ENSG00000004534	protein_coding
CAMKK1	chr17	ENSG00000004660	protein_coding
RECQL	chr12	ENSG00000004700	protein_coding
VPS50	chr7	ENSG00000004766	protein_coding
HSPB6	chr19	ENSG00000004776	protein_coding
ARHGAP33	chr19	ENSG00000004777	protein_coding
NDUFAB1	chr16	ENSG00000004779	protein_coding
PDK4	chr7	ENSG00000004799	protein_coding
SLC22A16	chr6	ENSG00000004809	protein_coding
ZMYND10	chr3	ENSG00000004838	protein_coding
ABCB5	chr7	ENSG00000004846	protein_coding
ARX	chrX	ENSG00000004848	protein_coding
SLC25A13	chr7	ENSG00000004864	protein_coding
ST7	chr7	ENSG00000004866	protein_coding
CDC27	chr17	ENSG00000004897	protein_coding
SLC4A1	chr17	ENSG00000004939	protein_coding
CALCR	chr7	ENSG00000004948	protein_coding
HCCS	chrX	ENSG00000004961	protein_coding
DVL2	chr17	ENSG00000004975	protein_coding
PRSS22	chr16	ENSG00000005001	protein_coding
UPF1	chr19	ENSG00000005007	protein_coding
SKAP2	chr7	ENSG00000005020	protein_coding
SLC25A5	chrX	ENSG00000005022	protein_coding
MCUB	chr4	ENSG00000005059	protein_coding
HOXA11	chr7	ENSG00000005073	protein_coding
POLR2J	chr7	ENSG00000005075	protein_coding
DHX33	chr17	ENSG00000005100	protein_coding
MEOX1	chr17	ENSG00000005102	protein_coding
THSD7A	chr7	ENSG00000005108	protein_coding
LIG3	chr17	ENSG00000005156	protein_coding
RPAP3	chr12	ENSG00000005175	protein_coding
ACSM3	chr16	ENSG00000005187	protein_coding
REXO5	chr16	ENSG00000005189	protein_coding
CIAPIN1	chr16	ENSG00000005194	protein_coding
SPPL2B	chr19	ENSG00000005206	protein_coding
ATOSB	chr9	ENSG00000005238	protein_coding
COPZ2	chr17	ENSG00000005243	protein_coding
PRKAR2B	chr7	ENSG00000005249	protein_coding
MSL3	chrX	ENSG00000005302	protein_coding
CREBBP	chr16	ENSG00000005339	protein_coding
TSPOAP1	chr17	ENSG00000005379	protein_coding
MPO	chr17	ENSG00000005381	protein_coding
PON1	chr7	ENSG00000005421	protein_coding
GCFC2	chr2	ENSG00000005436	protein_coding
WDR54	chr2	ENSG00000005448	protein_coding
CROT	chr7	ENSG00000005469	protein_coding
ABCB4	chr7	ENSG00000005471	protein_coding
KMT2E	chr7	ENSG00000005483	protein_coding
RHBDD2	chr7	ENSG00000005486	protein_coding
SOX8	chr16	ENSG00000005513	protein_coding
IBTK	chr6	ENSG00000005700	protein_coding
ZNF195	chr11	ENSG00000005801	protein_coding
MYCBP2	chr13	ENSG00000005810	protein_coding
FBXL3	chr13	ENSG00000005812	protein_coding
ITGAL	chr16	ENSG00000005844	protein_coding
PDK2	chr17	ENSG00000005882	protein_coding
ITGA3	chr17	ENSG00000005884	protein_coding
ZFX	chrX	ENSG00000005889	protein_coding
LAMP2	chrX	ENSG00000005893	protein_coding
ITGA2B	chr17	ENSG00000005961	protein_coding
ASB4	chr7	ENSG00000005981	protein_coding
GDE1	chr16	ENSG00000006007	protein_coding
REX1BD	chr19	ENSG00000006015	protein_coding
CRLF1	chr19	ENSG00000006016	protein_coding
OSBPL7	chr17	ENSG00000006025	protein_coding
TMEM98	chr17	ENSG00000006042	protein_coding
YBX2	chr17	ENSG00000006047	protein_coding
KRT33A	chr17	ENSG00000006059	protein_coding
MAP3K14	chr17	ENSG00000006062	protein_coding
ABCC8	chr11	ENSG00000006071	protein_coding
CACNG3	chr16	ENSG00000006116	protein_coding
TMEM132A	chr11	ENSG00000006118	protein_coding
AP2B1	chr17	ENSG00000006125	protein_coding
TAC1	chr7	ENSG00000006128	protein_coding
ZNF263	chr16	ENSG00000006194	protein_coding
CX3CL1	chr16	ENSG00000006210	protein_coding
SPATA20	chr17	ENSG00000006282	protein_coding
CACNA1G	chr17	ENSG00000006283	protein_coding
TNFRSF12A	chr16	ENSG00000006327	protein_coding
DLX6	chr7	ENSG00000006377	protein_coding
MAP3K9	chr14	ENSG00000006432	protein_coding
RALA	chr7	ENSG00000006451	protein_coding
BAIAP2L1	chr7	ENSG00000006453	protein_coding
KDM7A	chr7	ENSG00000006459	protein_coding
ETV1	chr7	ENSG00000006468	protein_coding
AGK	chr7	ENSG00000006530	protein_coding
ALDH3B1	chr11	ENSG00000006534	protein_coding
TTC22	chr1	ENSG00000006555	protein_coding
PHTF2	chr7	ENSG00000006576	protein_coding
CCL26	chr7	ENSG00000006606	protein_coding
FARP2	chr2	ENSG00000006607	protein_coding
USH1C	chr11	ENSG00000006611	protein_coding
GGCT	chr7	ENSG00000006625	protein_coding
DBF4	chr7	ENSG00000006634	protein_coding
TBXA2R	chr19	ENSG00000006638	protein_coding
IFRD1	chr7	ENSG00000006652	protein_coding
LGALS14	chr19	ENSG00000006659	protein_coding
COX10	chr17	ENSG00000006695	protein_coding
GTF2IRD1	chr7	ENSG00000006704	protein_coding
PAF1	chr19	ENSG00000006712	protein_coding
VPS41	chr7	ENSG00000006715	protein_coding
ARHGAP44	chr17	ENSG00000006740	protein_coding
ELAC2	chr17	ENSG00000006744	protein_coding
